held_out_identity,subj,metric,time_ms,beta_uV
M_1,s10,I,340.0,0.41949717353389904
M_1,s10,I,360.0,0.4425682561078681
M_1,s10,I,380.0,0.19590059344802377
M_1,s10,I,400.0,0.3415369319611509
M_1,s10,I,420.0,1.1138644997941907
M_1,s10,I,440.0,0.764656932660507
M_1,s10,I,460.0,0.07836931595000096
M_1,s10,I,480.0,0.5101522141292948
M_1,s10,I,500.0,0.916428428498876
M_1,s10,I,520.0,0.5235811285124874
M_1,s10,I,540.0,0.35870837563557656
M_1,s10,I,560.0,0.6592329283654563
M_1,s10,I,580.0,0.20989692989025083
M_1,s10,I,600.0,0.037269904224275924
M_1,s10,I,620.0,0.49119686838709103
M_1,s10,I,640.0,0.48997610512091605
M_1,s10,I,660.0,0.17705441088936053
M_1,s10,I,680.0,0.08605792725659255
M_1,s10,I,700.0,0.24215747016021094
M_1,s10,I,720.0,0.1881104398296567
M_1,s10,I,740.0,0.10084583499139987
M_1,s10,I,760.0,0.1362095090387891
M_1,s10,I,780.0,0.2154810558288735
M_1,s10,I,800.0,0.320351448980947
M_1,s10,I,820.0,0.6729875006202947
M_1,s10,I,840.0,0.8120927171220608
M_1,s10,I,860.0,0.729994596042469
M_1,s10,I,880.0,0.27863191888650346
M_1,s10,I,900.0,0.2771490021074982
M_1,s10,I,920.0,0.576441986815043
M_1,s10,I,940.0,0.45042673143950285
M_1,s10,I,960.0,0.47475056580229347
M_1,s10,I,980.0,0.3448619769952767
M_2,s10,G,0.0,0.1399341583557556
M_2,s10,G,20.0,-0.05706143448445514
M_2,s10,G,40.0,-0.15882707308386404
M_2,s10,G,60.0,-0.06680633945221018
M_2,s10,G,80.0,-0.054687792303370786
M_2,s10,G,100.0,-0.247222807669058
M_2,s10,G,120.0,-0.2186560306495601
M_2,s10,G,140.0,-0.1712803470849997
M_2,s10,G,160.0,-0.2574191791576541
M_2,s10,G,180.0,-0.48241904225415827
M_2,s10,G,200.0,-0.2379015199911879
M_2,s10,G,220.0,-0.06674585280830721
M_2,s10,G,240.0,-0.1459914220898691
M_2,s10,G,260.0,-0.3477577721367078
M_2,s10,G,280.0,-0.294289206911527
M_2,s10,G,300.0,-0.22916855808653935
M_2,s10,G,320.0,-0.01318538510083904
M_2,s10,G,340.0,-0.19234268310166047
M_2,s10,G,360.0,-0.09433085970948663
M_2,s10,G,380.0,0.27232179991719907
M_2,s10,G,400.0,-0.218081721721409
M_2,s10,G,420.0,-0.20386350686612464
M_2,s10,G,440.0,0.28428768577803193
M_2,s10,G,460.0,0.007662885551195334
M_2,s10,G,480.0,-0.14720295779447715
M_2,s10,G,500.0,0.29458926677242603
M_2,s10,G,520.0,0.1691328628495524
M_2,s10,G,540.0,-0.058853233760788895
M_2,s10,G,560.0,0.18301026784021074
M_2,s10,G,580.0,0.5662677313854544
M_2,s10,G,600.0,0.4405548084969414
M_2,s10,G,620.0,0.007856808367773388
M_2,s10,G,640.0,0.01566703625968352
M_2,s10,G,660.0,0.3162722864491815
M_2,s10,G,680.0,0.2976394846913927
M_2,s10,G,700.0,0.019459951127873278
M_2,s10,G,720.0,0.0008652433304070159
M_2,s10,G,740.0,0.02867613405004997
M_2,s10,G,760.0,-0.21918302354780603
M_2,s10,G,780.0,-0.29635522306090417
M_2,s10,G,800.0,-0.28816167515109425
M_2,s10,G,820.0,-0.1589612961253101
M_2,s10,G,840.0,-0.17010014213823169
M_2,s10,G,860.0,-0.2960027874401693
M_2,s10,G,880.0,-0.3649379689910488
M_2,s10,G,900.0,-0.3773623885792913
M_2,s10,G,920.0,-0.44001914368870443
M_2,s10,G,940.0,-0.5220322371539057
M_2,s10,G,960.0,-0.5278078888446848
M_2,s10,G,980.0,-0.4276777182627095
M_2,s10,A,0.0,-0.2765424874886337
M_2,s10,A,20.0,-0.16095389236737112
M_2,s10,A,40.0,-0.0854504581945468
M_2,s10,A,60.0,-0.06041261578797136
M_2,s10,A,80.0,0.006243958389661214
M_2,s10,A,100.0,0.14074841116362183
M_2,s10,A,120.0,-0.07289945580016854
M_2,s10,A,140.0,-0.23149847483163533
M_2,s10,A,160.0,-0.1302046431037825
